,Date,Open,High,Low,Close,Adj Close,Volume,Ticker
151,2024-01-24,14.42,14.44,13.97,14.08,14.08,1353400,BMBL
152,2024-01-25,14.1,14.51,13.79,14.37,14.37,4013700,BMBL
153,2024-01-26,14.42,14.645,14.15,14.2,14.2,1842500,BMBL
154,2024-01-29,14.23,14.475,14.02,14.35,14.35,1836600,BMBL
155,2024-01-30,14.18,14.29,13.82,13.84,13.84,2518400,BMBL
156,2024-01-31,13.53,14.3,13.35,13.72,13.72,2441900,BMBL
157,2024-02-01,13.73,13.96,13.415,13.94,13.94,2632500,BMBL
158,2024-02-02,13.78,14.0,13.68,13.71,13.71,1599400,BMBL
159,2024-02-05,13.6,13.67,13.14,13.2,13.2,2087900,BMBL
160,2024-02-06,13.15,13.83,13.15,13.78,13.78,2088000,BMBL
161,2024-02-07,13.84,13.86,13.4,13.41,13.41,2168700,BMBL
162,2024-02-08,13.42,13.46,12.96,12.96,12.96,2143600,BMBL
163,2024-02-09,13.0,13.375,12.86,13.28,13.28,2181600,BMBL
164,2024-02-12,13.31,13.905,13.24,13.77,13.77,2228600,BMBL
165,2024-02-13,13.33,13.465,12.88,12.98,12.98,2515900,BMBL
166,2024-02-14,13.27,13.5,13.17,13.41,13.41,1743700,BMBL
167,2024-02-15,13.48,14.08,13.47,14.02,14.02,2449200,BMBL
168,2024-02-16,13.82,13.97,13.49,13.57,13.57,2665200,BMBL
169,2024-02-20,13.36,13.56,13.235,13.28,13.28,2000000,BMBL
170,2024-02-21,13.19,13.32,12.93,13.27,13.27,1538100,BMBL
171,2024-02-22,13.28,13.335,13.0,13.1,13.1,1612000,BMBL
172,2024-02-23,13.1,13.365,12.99,13.11,13.11,1709300,BMBL
173,2024-02-26,13.08,13.365,12.66,12.72,12.72,4344800,BMBL
174,2024-02-27,12.9,13.35,12.775,13.18,13.18,6961400,BMBL
175,2024-02-28,11.75,12.76,11.165,11.23,11.23,11651800,BMBL
176,2024-02-29,11.43,11.7,11.18,11.45,11.45,5645700,BMBL
177,2024-03-01,11.47,11.53,11.2,11.44,11.44,3687300,BMBL
178,2024-03-04,11.47,11.53,11.1,11.28,11.28,3780400,BMBL
179,2024-03-05,11.09,11.11,10.72,10.98,10.98,4240100,BMBL
180,2024-03-06,11.0,11.05,10.52,10.68,10.68,6392500,BMBL
181,2024-03-07,10.8,10.94,10.65,10.75,10.75,3373500,BMBL
182,2024-03-08,10.79,11.155,10.73,10.87,10.87,4320000,BMBL
183,2024-03-11,10.83,11.29,10.8,11.19,11.19,3221300,BMBL
184,2024-03-12,11.15,11.17,10.77,10.83,10.83,3856500,BMBL
185,2024-03-13,10.8,10.94,10.65,10.71,10.71,2723900,BMBL
186,2024-03-14,10.64,10.745,10.38,10.49,10.49,5353400,BMBL
187,2024-03-15,10.44,10.885,10.36,10.74,10.74,3881500,BMBL
188,2024-03-18,10.77,11.095,10.66,10.82,10.82,2514600,BMBL
189,2024-03-19,10.77,11.065,10.73,10.95,10.95,2383500,BMBL
190,2024-03-20,10.89,11.235,10.84,10.99,10.99,3547300,BMBL
191,2024-03-21,11.08,11.11,10.77,10.79,10.79,2756200,BMBL
192,2024-03-22,10.85,11.1,10.82,10.87,10.87,3232800,BMBL
193,2024-03-25,10.92,11.116,10.83,11.02,11.02,1936100,BMBL
194,2024-03-26,11.12,11.24,10.855,10.92,10.92,3857700,BMBL
195,2024-03-27,11.06,11.21,10.84,11.19,11.19,3339900,BMBL
